ID,Source,Customer Segment,Membership Type,Membership Level,Affiliation,IsActive,Gender,Citizenship,Age,Lifetime Days,Has Linkedin,City,Industry,Interviewed,Pathfinder Assigned,Customer Call Status,Languages,Completeness,Country,Country Code,Continent Code,Longitude,Latitude,Continent
11,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,,,214.0,,Lagos,,,,None,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
12,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
13,RoomMaster,Joined post-Sprint August,Premium Paying,Mid-career Leader,ALUSB 2016 Alumni ISA,checked,male,,,92.0,,Accra,,,checked,,,72.0%,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
14,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALUSB Alumni,checked,female,,,214.0,,Johannesburg,,,,None,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
15,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,,,214.0,,Lagos,,,,Completed,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
16,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Johannesburg,,,,Completed,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
17,RoomMaster,AIIP 2018,Free Trial,Mid-career Leader,AIIP 2018,checked,male,,,214.0,,,,,,None,,68.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
18,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,,,214.0,,Lagos,,,checked,Completed,,76.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
19,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,female,,,214.0,,,,,,,,64.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
20,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,female,,,214.0,,,,,,None,,68.0%,Senegal,SN,AF,-14.765340959100412,14.46517725,Africa
21,RoomMaster,Existing Room member,Free Trial,Senior Leader,Donor,checked,male,,,214.0,,New York City,,,,Completed,,68.0%,United States of America,US,,-100.4458825,39.7837304,North America
22,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,Lagos,,,,None,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
23,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,,female,,,366.0,,Johannesburg,,,,None,,68.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
24,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,Member Nomination,checked,female,,30-40,214.0,,Pretoria,,,checked,Completed,,80.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
25,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Parent,checked,male,,,214.0,,Nairobi,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
26,RoomMaster,Existing Room member,Free Trial,,ALN,checked,female,,,171.0,,Nairobi,,,,#REF!,,68.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
27,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,31.0,,,,,,,,36.0%,Unknown,,,,,
28,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Kigali,,,,Completed,,72.0%,Rwanda,RW,AF,30.0644358,-1.9646631,Africa
29,RoomMaster,Existing Room member,Free Trial,Senior Leader,,checked,male,,,214.0,,Wolfeboro,,,,None,,64.0%,United States of America,US,,-100.4458825,39.7837304,North America
30,RoomMaster,,Free Trial,Mid-career Leader,,checked,female,,,92.0,,,,,,,,32.0%,Unknown,,,,,
31,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,,,,61.0,,,,,,,,32.0%,Unknown,,,,,
32,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,Staff Nomination,checked,female,,,153.0,,,,,,,,64.0%,Cote d'Ivoire,CI,AF,-5.5679458,7.9897371,Africa
33,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,214.0,,,,,,None,,68.0%,Rwanda,RW,AF,30.0644358,-1.9646631,Africa
34,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,,20-30,214.0,,Nairobi,,,checked,Completed,,80.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
35,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,,,214.0,,Nairobi,Insurance,,,None,,76.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
36,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,,,214.0,,Nairobi,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
37,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,,,214.0,,Nairobi,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
38,RoomMaster,Existing Room member,Free Trial,Young Leader,ALA Alumni,checked,female,,,214.0,,South Bend,,,,Completed,,68.0%,United States of America,US,,-100.4458825,39.7837304,North America
39,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,Johannesburg,,Interview,,Completed,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
40,RoomMaster,LP Nairobi 2018,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,checked,,Education,,checked,None,,80.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
41,RoomMaster,The Room staff,Founding Member,Senior Leader,AL Staff,checked,male,,,214.0,,Minneapolis,,Interview,,None,English; German,76.0%,United States of America,US,,-100.4458825,39.7837304,North America
42,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,,male,,,214.0,,Nairobi,Insurance,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
43,RoomMaster,,Staff Membership,Young Leader,AL Staff,checked,female,,,31.0,,,,,,,,36.0%,Unknown,,,,,
44,RoomMaster,Existing Room member,Founding Member,Senior Leader,Advisory Council,,male,,,366.0,,Johannesburg,,,,None,,68.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
45,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,Johannesburg,,,,None,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
46,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,Eastern Cape,,,,None,,68.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
47,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,Staff Alumni,checked,female,,,214.0,,,,,,None,,68.0%,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
48,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,40-50,214.0,,Lisbon;Nairobi,,,,Completed,,56.0%,Portugal;Kenya,,,,,
49,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,,,214.0,,Lagos,,,checked,None,,76.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
50,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
51,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
52,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Lagos,Insurance,,,None,,76.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
53,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,female,,,366.0,,Addis Ababa,,,,Completed,,72.0%,Ethiopia,ET,AF,38.6521203,10.2116702,Africa
54,RoomMaster,,Free Trial,Mid-career Leader,Consultant,checked,female,,,31.0,,,,,,,,36.0%,Unknown,,,,,
55,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
56,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,Staff Alumni,checked,male,,,366.0,,Nairobi,,,checked,Completed,,76.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
57,RoomMaster,The Room staff,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,,,214.0,checked,Nairobi,Education,,checked,Completed,,84.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
58,RoomMaster,DSXL Johannesburg,Free Trial,Mid-career Leader,DSXL Johannesburg,checked,female,,,214.0,,,,,,None,,68.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
59,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,,,214.0,,Nairobi,Insurance,,,None,,76.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
60,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,,,184.0,,Nairobi,,,,,,68.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
61,RoomMaster,LP Nairobi 2018,Free Trial,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,Nairobi,Education,,,Completed,,76.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
62,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,,,184.0,,Addis Ababa,,,,,,68.0%,Ethiopia,ET,AF,38.6521203,10.2116702,Africa
63,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,male,,,366.0,,London,,,,None,,68.0%,United Kingdom,GB,EU,-3.2765753,54.7023545,Europe
64,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,female,,,214.0,,Abidjan,,,,None,,72.0%,Cote d'Ivoire,CI,AF,-5.5679458,7.9897371,Africa
65,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,,30-40,214.0,,Pamplemousses,Education,,,Completed,,80.0%,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
66,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,214.0,,,,,,None,,68.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
67,RoomMaster,AIIP 2018,Free Trial,Young Leader,AIIP 2018,checked,male,,,214.0,,,,,,Completed,,68.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
68,RoomMaster,Existing Room member,Free Trial,Senior Leader,Parent,checked,male,,,214.0,,Kisii,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
69,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,,,366.0,,Johannesburg,,,,None,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
70,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,31.0,,,,,,,,36.0%,Unknown,,,,,
71,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
72,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,male,,,214.0,,Nairobi,Environmental,,,None,,76.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
73,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,,,184.0,,Lagos,,,,,,68.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
74,RoomMaster,The Room staff,Staff Membership,Young Leader,AL Staff,checked,female,,,214.0,,Johannesburg,,,,Completed,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
75,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,,,214.0,checked,Nairobi,,,checked,Completed,,80.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
76,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,,,,,None,,60.0%,United States of America,US,,-100.4458825,39.7837304,North America
77,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,,checked,male,,,366.0,,London,,,,Completed,English; Zulu,72.0%,United Kingdom,GB,EU,-3.2765753,54.7023545,Europe
78,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,,male,,,366.0,,Johannesburg,,,,None,,68.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
79,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,,checked,male,,,366.0,,Cape Town,,,,None,,68.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
80,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,,male,,,366.0,,Duluth,,,,None,,68.0%,Switzerland,CH,EU,8.444947437939408,46.813331250000005,Europe
81,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,,male,,,366.0,,Accra,,,,None,,68.0%,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
82,RoomMaster,Joined post-Sprint - June,Free Trial,Young Leader,ALU Alumni,checked,male,,,153.0,,Tema,,,,,,68.0%,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
83,RoomMaster,Existing Room member,Free Trial,,ALN,checked,female,,,224.0,,Nairobi,,,,#REF!,,68.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
84,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,Phnom Penh,,,checked,Completed,,76.0%,Cambodia,KH,AS,104.869423,13.5066394,Asia
85,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Gland,,,,None,,72.0%,Switzerland,CH,EU,8.444947437939408,46.813331250000005,Europe
86,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,male,,,366.0,,Toronto,,,,None,,64.0%,Canada,CA,,-107.991707,61.0666922,North America
87,RoomMaster,DSLP Nairobi 2020,Free Trial,Young Leader,DSLP Nairobi 2020,checked,male,,,214.0,,,,,,None,,68.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
88,RoomMaster,AIIP 2019,Free Trial,Young Leader,AIIP 2019,checked,male,,20-30,214.0,,Lagos,,,checked,None,,80.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
89,RoomMaster,AIIP 2018,Free Trial,Young Leader,AIIP 2018,,male,,,214.0,,,,,,None,,64.0%,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
90,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,male,,,366.0,,Dakar,,,,None,,68.0%,Senegal,SN,AF,-14.765340959100412,14.46517725,Africa
91,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,Nairobi,,,checked,None,,76.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
92,RoomMaster,XL Dakar,Free Trial,Mid-career Leader,XL Dakar,checked,male,,,214.0,,,,,,None,,68.0%,Senegal,SN,AF,-14.765340959100412,14.46517725,Africa
93,RoomMaster,AIIP 2019,Free Trial,Mid-career Leader,AIIP 2019,checked,male,,,214.0,,Port Harcourt,,,,None,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
94,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,female,,,366.0,,Lagos,,,,Completed,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
95,RoomMaster,Existing Room member,Free Trial,,ALN,checked,male,,,171.0,,Kisumu,,,,#REF!,,68.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
96,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,,,214.0,,Johannesburg,,,,Completed,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
97,RoomMaster,Joined post-Sprint - June,Free Trial,Mid-career Leader,ALUSB Alumni,checked,male,,,153.0,,,,,,,,64.0%,Zimbabwe,ZW,AF,29.35365015971339,-19.01688,Africa
98,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,ALN,checked,male,,,214.0,,London,,,,None,,72.0%,United Kingdom,GB,EU,-3.2765753,54.7023545,Europe
99,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,Paris,,,,Completed,,68.0%,France,FR,EU,1.8883335,46.603354,Europe
100,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,214.0,,Johannesburg,Education,,,None,,76.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
101,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,male,,,214.0,,Nairobi,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
102,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,,,214.0,,Nairobi,Insurance,,,None,,76.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
103,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,214.0,,Pamplemousses,Education,,,None,,76.0%,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
104,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,,,214.0,,Lagos,Insurance,,checked,Completed,,80.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
105,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,,,,31.0,,,,,,,,32.0%,Unknown,,,,,
106,RoomMaster,Existing Room member,Free Trial,,ALN,checked,female,,,171.0,,,,,,#REF!,,64.0%,American,CI,AF,-102.16763,31.9510266,Africa
107,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,,,214.0,,Lagos,,,,Completed,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
108,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,,,214.0,,Taipei,,,,None,,72.0%,Taiwan,TW,AS,120.9820179,23.9739374,Asia
109,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,ALN,checked,male,,,366.0,,Lagos,,,,Completed,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
110,RoomMaster,Existing Room member,Free Trial,Mid-career Leader,,checked,male,,,214.0,,Lagos,,,,None,,68.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
111,RoomMaster,LP Nairobi 2020,Premium Paying,Young Leader,LP Nairobi 2019,checked,male,,,214.0,,,,,checked,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
112,RoomMaster,AIIP 2020,Free Trial,Mid-career Leader,AIIP 2020,checked,male,,,214.0,,,,,checked,None,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
113,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,female,,,214.0,checked,Nairobi,,,checked,Completed,,80.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
114,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,,,214.0,,Lagos,,,checked,None,,76.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
115,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,30-40,214.0,,Nairobi,,,,None,,76.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
116,RoomMaster,Existing Room member,Free Trial,Senior Leader,Staff Nomination,checked,male,,,214.0,,Redwood,,,,None,,68.0%,United States of America,US,,-100.4458825,39.7837304,North America
117,RoomMaster,Existing Room member,Founding Member,Senior Leader,Board Member,checked,male,,,366.0,,Johannesburg,Law,,,Completed,,76.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
118,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,,,,214.0,,Lagos,,,,None,,68.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
119,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALUSB Alumni,checked,male,,,366.0,,Kigali,Engineering,,,None,,76.0%,Rwanda,RW,AF,30.0644358,-1.9646631,Africa
120,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,,,366.0,,Accra,,,,None,,72.0%,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
121,RoomMaster,XL Nairobi 2018,Free Trial,Mid-career Leader,XL Nairobi 2018,checked,female,,,214.0,,Nairobi,,,,None,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
122,RoomMaster,Existing Room member,Premium Paying,Young Leader,LP Nairobi 2018,checked,male,,,214.0,,Nairobi,,,checked,None,,76.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
123,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,School of Wildlife Conservation,checked,male,,,366.0,,Cape Town,,,,Completed,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
124,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,female,,,184.0,,Ksour essef,,,,,,68.0%,Tunisia,TN,AF,9.400138,33.8439408,Africa
125,RoomMaster,,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,31.0,,,,,,,,36.0%,Unknown,,,,,
126,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,,checked,female,,,366.0,,,,,,Completed,,64.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
127,RoomMaster,Existing Room member,Free Trial,Young Leader,ALU Alumni,checked,male,,,214.0,,,,,,None,,68.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
128,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,female,,,214.0,,Lagos,,,,None,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
129,RoomMaster,Existing Room member,Founding Member,Senior Leader,Corporate Partner,checked,female,,,366.0,,Accra,,,,None,,72.0%,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
130,RoomMaster,Existing Room member,Founding Member,Senior Leader,Donor,checked,male,,,366.0,,Lagos,,,,Completed,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
131,RoomMaster,The Room staff,Staff Membership,Mid-career Leader,AL Staff,checked,male,,,214.0,,Nairobi,,,,Completed,,72.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
132,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,,male,,,184.0,,Cape Town,Education,,,,,68.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
133,RoomMaster,Existing Room member,Free Trial,,ALN,checked,male,,,171.0,,Lagos,,,,#REF!,,68.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
134,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Johannesburg,,,,Completed,,72.0%,South Africa,ZA,AF,24.991639,-28.8166236,Africa
135,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,,50-60,366.0,,Lagos,,,,Completed,,76.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
136,RoomMaster,Existing Room member,Free Trial,Senior Leader,ALN,checked,male,,,214.0,,Sharon Hill,,,,None,,68.0%,United States of America,US,,-100.4458825,39.7837304,North America
137,RoomMaster,ALU staff,Staff Membership,Mid-career Leader,AL Staff,checked,female,,,214.0,,,Education,,,None,,72.0%,Mauritius,MU,AF,57.5703566,-20.2759451,Africa
138,RoomMaster,Joined post-Sprint - June,Free Trial,Senior Leader,ALUSB Alumni,checked,male,,,153.0,,Lagos,,,,,,68.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
139,RoomMaster,Existing Room member,Founding Member,Mid-career Leader,,checked,female,,40-50,366.0,,Accra,,,,Completed,English,76.0%,Ghana,GH,AF,-1.0840975468820433,7.857371,Africa
140,RoomMaster,AIIP 2020,Free Trial,Young Leader,AIIP 2020,checked,,,,214.0,,,,,,None,,64.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
141,RoomMaster,Joined post-Sprint - May,Free Trial,Young Leader,ALU Alumni,checked,male,,,184.0,,Dakar,,,,,,68.0%,Senegal,SN,AF,-14.765340959100412,14.46517725,Africa
142,RoomMaster,XL Nairobi 2019,Free Trial,Mid-career Leader,XL Nairobi 2019,checked,male,,,214.0,,Nairobi,Insurance,,,None,,76.0%,Kenya,KE,AF,38.4313975,1.4419683,Africa
143,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,Gaborone,,,,None,,68.0%,Botswana,BW,AF,24.5928742,-23.1681782,Africa
144,RoomMaster,Existing Room member,Founding Member,Senior Leader,,checked,female,,,366.0,,London,,,,None,,68.0%,United Kingdom,GB,EU,-3.2765753,54.7023545,Europe
145,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,female,,,214.0,,Lagos,,,checked,None,,76.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
146,RoomMaster,Existing Room member,Founding Member,Senior Leader,ALN,checked,male,,,366.0,,Kampala,,,,None,,72.0%,Uganda,UG,AF,32.2166578,1.5333554,Africa
147,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,,,214.0,,Lagos,,,,None,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
148,RoomMaster,XL Lagos,Free Trial,Mid-career Leader,XL Lagos,checked,male,,,214.0,,Lagos,,,,None,,72.0%,Nigeria,NG,AF,7.9999721,9.6000359,Africa
